symbol,date,open,high,low,close,volume
GXH.NZ,2021-11-22,1.16,1.17,1.16,1.16,51744
GXH.NZ,2021-11-23,1.16,1.16,1.15,1.15,77135
GXH.NZ,2021-11-24,1.16,1.16,1.15,1.15,1102
GXH.NZ,2021-11-25,1.18,1.19,1.15,1.15,6782
GXH.NZ,2021-11-26,1.2,1.25,1.2,1.22,62827
GXH.NZ,2021-11-29,1.22,1.22,1.19,1.19,29963
GXH.NZ,2021-11-30,1.18,1.21,1.17,1.2,31425
GXH.NZ,2021-12-01,1.2,1.2,1.2,1.2,29376
GXH.NZ,2021-12-02,1.19,1.22,1.19,1.2,21752
GXH.NZ,2021-12-03,1.2,1.2,1.19,1.19,13754
GXH.NZ,2021-12-06,1.18,1.19,1.18,1.19,2824
GXH.NZ,2021-12-07,1.17,1.17,1.14,1.14,114052
GXH.NZ,2021-12-08,1.15,1.15,1.15,1.15,642
GXH.NZ,2021-12-09,1.14,1.14,1.14,1.14,3313
GXH.NZ,2021-12-10,1.14,1.14,1.12,1.14,22370
GXH.NZ,2021-12-13,1.15,1.16,1.15,1.15,26336
GXH.NZ,2021-12-14,1.17,1.17,1.14,1.14,9898
GXH.NZ,2021-12-15,1.17,1.17,1.17,1.17,5509
GXH.NZ,2021-12-16,1.17,1.17,1.14,1.14,15082
GXH.NZ,2021-12-17,1.17,1.17,1.15,1.15,9035
GXH.NZ,2021-12-20,1.15,1.16,1.15,1.16,38908
GXH.NZ,2021-12-21,1.14,1.14,1.14,1.14,7568
GXH.NZ,2021-12-22,1.14,1.14,1.14,1.14,19595
GXH.NZ,2021-12-23,1.15,1.15,1.14,1.14,21935
GXH.NZ,2021-12-24,1.14,1.14,1.14,1.14,0
GXH.NZ,2021-12-29,1.15,1.17,1.14,1.17,35425
GXH.NZ,2021-12-30,1.18,1.19,1.18,1.18,37739
GXH.NZ,2021-12-31,1.19,1.19,1.19,1.19,1239
GXH.NZ,2022-01-05,1.18,1.19,1.18,1.19,52022
GXH.NZ,2022-01-06,1.19,1.21,1.19,1.2,53691
GXH.NZ,2022-01-07,1.2,1.21,1.2,1.21,709
GXH.NZ,2022-01-10,1.21,1.22,1.2,1.2,24733
GXH.NZ,2022-01-11,1.22,1.22,1.2,1.2,83875
GXH.NZ,2022-01-12,1.22,1.22,1.19,1.19,1150
GXH.NZ,2022-01-13,1.19,1.22,1.19,1.22,44621
GXH.NZ,2022-01-14,1.22,1.22,1.2,1.2,65124
GXH.NZ,2022-01-17,1.21,1.21,1.21,1.21,9852
GXH.NZ,2022-01-18,1.21,1.21,1.2,1.2,5728
GXH.NZ,2022-01-19,1.19,1.2,1.14,1.15,43810
GXH.NZ,2022-01-20,1.18,1.18,1.14,1.15,83311
GXH.NZ,2022-01-21,1.18,1.18,1.14,1.14,21951
